LIST_NUM;LIST_NAME;CAND_NUM;CAND_NAME;CAND_PICTURE
6;VERDI GRÜNE VERC;4;Oberkofler Zeno;4 Oberkofler Zeno.jpg
6;VERDI GRÜNE VERC;5;Mussner Elide;5 Mussner Elide.jpg
6;VERDI GRÜNE VERC;6;von Wohlgemuth Felix;6 Von Wohlgemuth Felix.jpg
6;VERDI GRÜNE VERC;7;Angelucci Giulio;7 Angelucci Giulio.jpg
6;VERDI GRÜNE VERC;8;Rohrer Madeleine;8 Rohrer Madeleine.jpg
6;VERDI GRÜNE VERC;9;Di Biasio Luca Laurenti;9 Di Biasio Luca.jpg
6;VERDI GRÜNE VERC;10;Zucali Francesca;10 Zucali Francesca.jpg
6;VERDI GRÜNE VERC;11;Renzler Katja Elisabeth;11 Renzler Katja.jpg
6;VERDI GRÜNE VERC;12;Rigamonti Roberta;12 Rigamonti Roberta.jpg
6;VERDI GRÜNE VERC;13;Aichner Peter;13 Aichner Peter.jpg
6;VERDI GRÜNE VERC;14;Bertolini Luca;14 Bertolini Luca.jpg
6;VERDI GRÜNE VERC;15;Bologna Helmut;15 Bologna Helmut.jpg
6;VERDI GRÜNE VERC;16;Brecelj Majda;16 Brecelj Majda.jpg
6;VERDI GRÜNE VERC;17;Casal Lea;17 Casal Lea.jpg
6;VERDI GRÜNE VERC;18; Cristofoletti Camilla;18 Cristofoletti Camilla.jpg
6;VERDI GRÜNE VERC;19;Dondio Elena;19 Dondio Elena.jpg
6;VERDI GRÜNE VERC;20;Fassa Erica;20 Fassa Erica.jpg
6;VERDI GRÜNE VERC;21;Fatnassi Chafai;21 Chafai Fatnassi.jpg
6;VERDI GRÜNE VERC;22;Lemayr Barbara;22 Lemayr Barbara.jpg
6;VERDI GRÜNE VERC;23;Mahlknecht Ingeborg (Inge);23 Mahlknecht Ingeborg (Inge).jpg
6;VERDI GRÜNE VERC;24;Martinolli Giorgia;24 Martinolli Giorgia.jpg
6;VERDI GRÜNE VERC;25;Molin Anna Maria;25 Molin Anna Maria.jpg
6;VERDI GRÜNE VERC;26;Niederkofler Hans Peter;26 Niederkofler Hans Peter.jpg
