MUNI_NUM;MUNI_DESC_I;MUNI_DESC_D;MUNI_DESC_L;MUNI_SECT;MUNI_SECP;MUNI_BLANK;MUNI_NULLS;LIST_NUM;LIST_NAME;LIST_VOTES
021009;BRAIES;PRAGS;BRAIES;1;1;3;10;11;FORZA ITALIA;0
021009;BRAIES;PRAGS;BRAIES;1;1;3;10;12;VITA;11
021009;BRAIES;PRAGS;BRAIES;1;1;3;10;13;CENTRO DESTRA;0
021009;BRAIES;PRAGS;BRAIES;1;1;3;10;14;SVP SÜDTIROLER VOLKSPARTEI;172
021009;BRAIES;PRAGS;BRAIES;1;1;3;10;15;LEGA SALVINI ALTO ADIGE SÜDTIROL - UNITI PER L’ALTO ADIGE;3
021009;BRAIES;PRAGS;BRAIES;1;1;3;10;16;FÜR SÜDTIROL MIT WIDMANN;40
021010;BRENNERO;BRENNER;PRËNER;3;3;8;17;1;TEAM K;163
021010;BRENNERO;BRENNER;PRËNER;3;3;8;17;2;MOVIMENTO 5 STELLE;3
021010;BRENNERO;BRENNER;PRËNER;3;3;8;17;3;ENZIAN;4
021010;BRENNERO;BRENNER;PRËNER;3;3;8;17;4;STF SÜDTIROLER FREIHEIT;160
021010;BRENNERO;BRENNER;PRËNER;3;3;8;17;5;PD PARTITO DEMOCRATICO - DEMOKRATISCHE PARTEI;32
021010;BRENNERO;BRENNER;PRËNER;3;3;8;17;6;VERDI GRÜNE VËRC;39
021010;BRENNERO;BRENNER;PRËNER;3;3;8;17;7;FRATELLI D’ITALIA;72
021010;BRENNERO;BRENNER;PRËNER;3;3;8;17;8;LA CIVICA;3
021010;BRENNERO;BRENNER;PRËNER;3;3;8;17;9;JWA - WIRTH ANDERLAN;60
021010;BRENNERO;BRENNER;PRËNER;3;3;8;17;10;DIE FREIHEITLICHEN;40
021010;BRENNERO;BRENNER;PRËNER;3;3;8;17;11;FORZA ITALIA;7
021010;BRENNERO;BRENNER;PRËNER;3;3;8;17;12;VITA;18
021010;BRENNERO;BRENNER;PRËNER;3;3;8;17;13;CENTRO DESTRA;0
021010;BRENNERO;BRENNER;PRËNER;3;3;8;17;14;SVP SÜDTIROLER VOLKSPARTEI;481
021010;BRENNERO;BRENNER;PRËNER;3;3;8;17;15;LEGA SALVINI ALTO ADIGE SÜDTIROL - UNITI PER L’ALTO ADIGE;15
